"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b[61] Eltingville",-0.220135548532315,-0.2217255,-0.221356279173339,983405.7,0.95,-0.632793,0.19728,NA,NA,NA,NA,NA,NA,NA
"b[62] Emerson Hill",-0.182049662985856,-0.1823725,-0.192230096539947,988575.9,0.95,-0.592324,0.232602,NA,NA,NA,NA,NA,NA,NA
"b[63] Far Rockaway",-0.182950881226593,-0.1852355,-0.205353420529998,1000008,0.95,-0.592461,0.233753,NA,NA,NA,NA,NA,NA,NA
"b[64] Fieldston",-0.0543287487635577,-0.05253085,-0.0358372702677796,995987.9,0.95,-0.431265,0.311914,NA,NA,NA,NA,NA,NA,NA
"b[65] Financial District",0.460030937245502,0.460075,0.460745872919599,966717.8,0.95,0.332154,0.587557,NA,NA,NA,NA,NA,NA,NA
"b[66] Flatbush",-0.236160394258446,-0.236151,-0.235110327162079,940177.2,0.95,-0.319634,-0.152351,NA,NA,NA,NA,NA,NA,NA
"b[67] Flatiron District",0.577264267879357,0.577972,0.578898654914826,997161.4,0.95,0.380721,0.774971,NA,NA,NA,NA,NA,NA,NA
"b[68] Flatlands",-0.245012255545077,-0.246981,-0.249838996222285,992913,0.95,-0.488964,0.00485263,NA,NA,NA,NA,NA,NA,NA
"b[69] Flushing",-0.120038186019838,-0.119995,-0.118101368299411,995413,0.95,-0.260376,0.0212504,NA,NA,NA,NA,NA,NA,NA
"b[70] Fordham",-0.378060145681243,-0.380118,-0.387791030043915,996622.9,0.95,-0.718305,-0.025749,NA,NA,NA,NA,NA,NA,NA
"b[71] Forest Hills",-0.0325394645594093,-0.03319305,-0.0375831534982163,1000008,0.95,-0.246582,0.181718,NA,NA,NA,NA,NA,NA,NA
"b[72] Fort Greene",0.31123353628971,0.311311,0.31182413788343,876147.4,0.95,0.236273,0.385771,NA,NA,NA,NA,NA,NA,NA
"b[73] Fort Hamilton",-0.00648192669988596,-0.006598295,-0.0109139586639367,995004.4,0.95,-0.195555,0.183907,NA,NA,NA,NA,NA,NA,NA
"b[74] Fort Wadsworth",-0.013582289620315,-0.01042555,-0.0112945165855765,930173.2,0.95,-0.470726,0.435702,NA,NA,NA,NA,NA,NA,NA
"b[75] Fresh Meadows",-0.44589194976962,-0.448271,-0.453829306656879,996252.4,0.95,-0.794288,-0.0886261,NA,NA,NA,NA,NA,NA,NA
"b[76] Glendale",-0.00861458228553374,-0.00806981,-0.0110882747682756,1000008,0.95,-0.275829,0.258807,NA,NA,NA,NA,NA,NA,NA
"b[77] Gowanus",0.258575136519097,0.2587845,0.25770062649533,976203.2,0.95,0.154836,0.364503,NA,NA,NA,NA,NA,NA,NA
"b[78] Gramercy",0.422185776037792,0.42212,0.422269342234311,993571.1,0.95,0.301307,0.543087,NA,NA,NA,NA,NA,NA,NA
"b[79] Grant City",-0.263193958354761,-0.265991,-0.266142382541093,986679.7,0.95,-0.682823,0.159707,NA,NA,NA,NA,NA,NA,NA
"b[80] Gravesend",-0.072263275691767,-0.07324475,-0.0725926365207397,1000008,0.95,-0.322207,0.176451,NA,NA,NA,NA,NA,NA,NA
"b[81] Great Kills",-0.246365962130029,-0.2473725,-0.262059835769268,983855.7,0.95,-0.627938,0.128447,NA,NA,NA,NA,NA,NA,NA
"b[82] Greenpoint",0.209423538608991,0.209506,0.209837221468099,810671.4,0.95,0.140844,0.276638,NA,NA,NA,NA,NA,NA,NA
"b[83] Greenwich Village",0.655648599807202,0.655675,0.655524408292602,896265.4,0.95,0.55857,0.753991,NA,NA,NA,NA,NA,NA,NA
"b[84] Grymes Hill",-0.0564050499750987,-0.0569536,-0.0711619115572732,986356,0.95,-0.464673,0.355537,NA,NA,NA,NA,NA,NA,NA
"b[85] Harlem",0.111120618266612,0.111139,0.111915454829559,712587.3,0.95,0.0583318,0.164313,NA,NA,NA,NA,NA,NA,NA
"b[86] Hell's Kitchen",0.618552018643851,0.61851,0.617902683584142,800561.7,0.95,0.550499,0.686286,NA,NA,NA,NA,NA,NA,NA
"b[87] Hollis",-0.166309832388934,-0.1685995,-0.169139689279063,995958,0.95,-0.57842,0.243295,NA,NA,NA,NA,NA,NA,NA
"b[88] Holliswood",-0.120644895471193,-0.121444,-0.121998257360044,1003885.5,0.95,-0.52349,0.285273,NA,NA,NA,NA,NA,NA,NA
"b[89] Howard Beach",-0.0405408765778713,-0.04045245,-0.0427944291273084,1000008,0.95,-0.345476,0.267084,NA,NA,NA,NA,NA,NA,NA
"b[90] Huguenot",0.00281006936354777,0.005732605,-0.000702613559960374,977674.9,0.95,-0.465366,0.462989,NA,NA,NA,NA,NA,NA,NA
"b[91] Inwood",-0.150588575824534,-0.150706,-0.147136885301232,954246.6,0.95,-0.275407,-0.0279862,NA,NA,NA,NA,NA,NA,NA
"b[92] Jackson Heights",-0.115682077515896,-0.115071,-0.115780088504009,1000008,0.95,-0.289646,0.0585197,NA,NA,NA,NA,NA,NA,NA
"b[93] Jamaica",-0.367827814185593,-0.367798,-0.371355999343225,1001082.6,0.95,-0.548731,-0.185844,NA,NA,NA,NA,NA,NA,NA
"b[94] Jamaica Estates",-0.187408690524511,-0.187668,-0.193525654761249,1000008,0.95,-0.57668,0.20177,NA,NA,NA,NA,NA,NA,NA
"b[95] Kensington",-0.258748526079196,-0.258615,-0.262323913138862,995646,0.95,-0.404402,-0.115396,NA,NA,NA,NA,NA,NA,NA
"b[96] Kew Gardens",0.0734151332794144,0.07494905,0.0772552180566942,1000008,0.95,-0.203773,0.351192,NA,NA,NA,NA,NA,NA,NA
"b[97] Kew Gardens Hills",-0.0224930699922508,-0.02096545,-0.021246143308548,1000008,0.95,-0.283463,0.235756,NA,NA,NA,NA,NA,NA,NA
"b[98] Kingsbridge",-0.135888226658715,-0.1347235,-0.126027595979865,986003.4,0.95,-0.376629,0.100866,NA,NA,NA,NA,NA,NA,NA
"b[99] Kips Bay",0.425777130967952,0.425584,0.426925532116453,990743.3,0.95,0.326808,0.525264,NA,NA,NA,NA,NA,NA,NA
"b[100] Laurelton",-0.0944601563886873,-0.0944421,-0.0916696986046746,1000008,0.95,-0.47583,0.282407,NA,NA,NA,NA,NA,NA,NA
"b[101] Lighthouse Hill",0.0136345946119806,0.01605745,0.0316931353252392,974139.5,0.95,-0.462273,0.485931,NA,NA,NA,NA,NA,NA,NA
"b[102] Little Italy",0.598079591334769,0.597365,0.595745372143317,997445.7,0.95,0.378502,0.817512,NA,NA,NA,NA,NA,NA,NA
"b[103] Long Island City",0.128822339172518,0.128934,0.127825037753174,990556.1,0.95,0.0190063,0.23954,NA,NA,NA,NA,NA,NA,NA
"b[104] Longwood",-0.270730169936415,-0.272632,-0.277697882460284,994173.5,0.95,-0.550387,0.00622951,NA,NA,NA,NA,NA,NA,NA
"b[105] Lower East Side",0.374887825427397,0.374893,0.376069421775795,827578.3,0.95,0.2962,0.45212,NA,NA,NA,NA,NA,NA,NA
"b[106] Manhattan Beach",0.084857712223861,0.0869402,0.0941362971620767,995227,0.95,-0.278474,0.445087,NA,NA,NA,NA,NA,NA,NA
"b[107] Marble Hill",-0.110512389188397,-0.114859,-0.125265653345467,989535.4,0.95,-0.440354,0.228929,NA,NA,NA,NA,NA,NA,NA
"b[108] Mariners Harbor",-0.233043079114447,-0.2346385,-0.228456136665906,952761.2,0.95,-0.649577,0.18293,NA,NA,NA,NA,NA,NA,NA
"b[109] Maspeth",-0.184824400301738,-0.184652,-0.184655617334321,1000008,0.95,-0.379422,0.00761665,NA,NA,NA,NA,NA,NA,NA
