"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[69] 10310",0.426985907188742,0.424704,0.422985155269173,996046.5,0.95,0.33187,0.526416,NA,NA,NA,NA,NA,NA,NA
"ySigma[70] 10312",0.455518540739674,0.45265,0.449326495671135,982178.7,0.95,0.351616,0.563671,NA,NA,NA,NA,NA,NA,NA
"ySigma[71] 10314",0.421842251639987,0.419656,0.415954267840341,996286.1,0.95,0.322789,0.525944,NA,NA,NA,NA,NA,NA,NA
"ySigma[72] 10451",0.411453176116591,0.409536,0.407142177498486,985775.2,0.95,0.329266,0.497108,NA,NA,NA,NA,NA,NA,NA
"ySigma[73] 10452",0.390846755644955,0.389149,0.385532193268174,976352.1,0.95,0.293795,0.48932,NA,NA,NA,NA,NA,NA,NA
"ySigma[74] 10453",0.429570775823793,0.427282,0.421225390855351,1000008,0.95,0.327697,0.535618,NA,NA,NA,NA,NA,NA,NA
"ySigma[75] 10454",0.417037903886769,0.415028,0.411731027502804,994984.7,0.95,0.332465,0.503975,NA,NA,NA,NA,NA,NA,NA
"ySigma[76] 10455",0.411538688904489,0.40947,0.4037497027629,994348.7,0.95,0.317612,0.50784,NA,NA,NA,NA,NA,NA,NA
"ySigma[77] 10456",0.448658964218286,0.446203,0.440320738568893,983335.2,0.95,0.355283,0.544654,NA,NA,NA,NA,NA,NA,NA
"ySigma[78] 10457",0.466959258567931,0.464418,0.461813020797336,974668.9,0.95,0.377349,0.561936,NA,NA,NA,NA,NA,NA,NA
"ySigma[79] 10458",0.470895373303014,0.467968,0.461985276618897,956977.4,0.95,0.372985,0.57283,NA,NA,NA,NA,NA,NA,NA
"ySigma[80] 10459",0.416374302916577,0.414235,0.409428771051418,989019.4,0.95,0.318156,0.518142,NA,NA,NA,NA,NA,NA,NA
"ySigma[81] 10460",0.468966461682307,0.466115,0.462971228921112,960342.1,0.95,0.365934,0.576803,NA,NA,NA,NA,NA,NA,NA
"ySigma[82] 10461",0.443434662278702,0.44108,0.4367572901342,986348.4,0.95,0.351855,0.538225,NA,NA,NA,NA,NA,NA,NA
"ySigma[83] 10462",0.417482026723786,0.4153525,0.411920081566183,993934.3,0.95,0.328651,0.511417,NA,NA,NA,NA,NA,NA,NA
"ySigma[84] 10463",0.394856812739498,0.393106,0.388988367704818,977071.4,0.95,0.314476,0.477765,NA,NA,NA,NA,NA,NA,NA
"ySigma[85] 10464",0.41796850376097,0.415904,0.412884176351196,992269.4,0.95,0.313786,0.524432,NA,NA,NA,NA,NA,NA,NA
"ySigma[86] 10465",0.427680379464964,0.4253655,0.422978648833862,994610.5,0.95,0.32449,0.533476,NA,NA,NA,NA,NA,NA,NA
"ySigma[87] 10466",0.379244407390741,0.377545,0.377687542923457,963624.2,0.95,0.294425,0.464781,NA,NA,NA,NA,NA,NA,NA
"ySigma[88] 10467",0.387661613116095,0.385965,0.382572811538783,957285.1,0.95,0.302073,0.476176,NA,NA,NA,NA,NA,NA,NA
"ySigma[89] 10468",0.421763863909089,0.4195395,0.412229975321379,989067.5,0.95,0.32911,0.520348,NA,NA,NA,NA,NA,NA,NA
"ySigma[90] 10469",0.443412593649251,0.441346,0.438360102903362,970069.6,0.95,0.362142,0.527553,NA,NA,NA,NA,NA,NA,NA
"ySigma[91] 10470",0.429550837929297,0.427158,0.423518266296232,988027.1,0.95,0.324188,0.539036,NA,NA,NA,NA,NA,NA,NA
"ySigma[92] 10471",0.430206909205726,0.427877,0.423074458623255,993529.4,0.95,0.323625,0.539588,NA,NA,NA,NA,NA,NA,NA
"ySigma[93] 10472",0.419710716883265,0.417545,0.41153466185787,996349.5,0.95,0.313762,0.528917,NA,NA,NA,NA,NA,NA,NA
"ySigma[94] 10473",0.42558779121967,0.4233665,0.418415450863275,990783.1,0.95,0.336417,0.51996,NA,NA,NA,NA,NA,NA,NA
"ySigma[95] 10474",0.377460807730538,0.376164,0.373845503127777,947297.2,0.95,0.277225,0.48225,NA,NA,NA,NA,NA,NA,NA
"ySigma[96] 10475",0.409483063939488,0.407654,0.402952563805934,982045.1,0.95,0.304279,0.516589,NA,NA,NA,NA,NA,NA,NA
"ySigma[97] 11003",0.429376429575563,0.426998,0.418616704247178,994190,0.95,0.320933,0.539092,NA,NA,NA,NA,NA,NA,NA
"ySigma[98] 11021",0.443149609164127,0.440475,0.433505261618087,991965.5,0.95,0.335966,0.554265,NA,NA,NA,NA,NA,NA,NA
"ySigma[99] 11101",0.438816997879017,0.437561,0.436071415950412,994444.9,0.95,0.379156,0.500569,NA,NA,NA,NA,NA,NA,NA
"ySigma[100] 11102",0.474615339706282,0.473107,0.470865688798189,978104.1,0.95,0.410173,0.541188,NA,NA,NA,NA,NA,NA,NA
"ySigma[101] 11103",0.388885700525396,0.38788,0.38649034449156,992867.8,0.95,0.3376,0.441656,NA,NA,NA,NA,NA,NA,NA
"ySigma[102] 11104",0.485763965385277,0.483858,0.481452642769765,969611.4,0.95,0.412235,0.562776,NA,NA,NA,NA,NA,NA,NA
"ySigma[103] 11105",0.386327982657139,0.385034,0.382187500580851,988056.8,0.95,0.327414,0.446983,NA,NA,NA,NA,NA,NA,NA
"ySigma[104] 11106",0.423749467138263,0.422583,0.420330292519303,993602.8,0.95,0.367228,0.481681,NA,NA,NA,NA,NA,NA,NA
"ySigma[105] 11109",0.432316895434837,0.429912,0.425938447838934,994837,0.95,0.328157,0.541854,NA,NA,NA,NA,NA,NA,NA
"ySigma[106] 11201",0.394762650546796,0.393973,0.392254848600346,994417.2,0.95,0.349586,0.441351,NA,NA,NA,NA,NA,NA,NA
"ySigma[107] 11203",0.389987374700002,0.388809,0.386064693885981,1000008,0.95,0.332949,0.448756,NA,NA,NA,NA,NA,NA,NA
"ySigma[108] 11204",0.426128663169695,0.423883,0.420127048582546,1000008,0.95,0.334999,0.521118,NA,NA,NA,NA,NA,NA,NA
"ySigma[109] 11205",0.453728336058312,0.453065,0.451899311910674,992028.3,0.95,0.411774,0.497233,NA,NA,NA,NA,NA,NA,NA
"ySigma[110] 11206",0.424232127680979,0.423844,0.422530876923502,994642.7,0.95,0.393218,0.455466,NA,NA,NA,NA,NA,NA,NA
"ySigma[111] 11207",0.375210092919257,0.374409,0.371416096300885,979093.7,0.95,0.332221,0.420288,NA,NA,NA,NA,NA,NA,NA
"ySigma[112] 11208",0.395994279464764,0.394413,0.39134339607794,981911.5,0.95,0.325357,0.46984,NA,NA,NA,NA,NA,NA,NA
"ySigma[113] 11209",0.4363247124903,0.434421,0.43160033809227,996604.2,0.95,0.35804,0.518685,NA,NA,NA,NA,NA,NA,NA
"ySigma[114] 11210",0.385245925356597,0.383515,0.378922571956222,972920.1,0.95,0.300278,0.472488,NA,NA,NA,NA,NA,NA,NA
"ySigma[115] 11211",0.461225320975432,0.460945,0.460371179597157,989848.4,0.95,0.433343,0.489821,NA,NA,NA,NA,NA,NA,NA
"ySigma[116] 11212",0.416344052126583,0.414412,0.41076608160815,993104.9,0.95,0.333668,0.501234,NA,NA,NA,NA,NA,NA,NA
"ySigma[117] 11213",0.402753984682123,0.40203,0.400739890652174,1000008,0.95,0.360305,0.446273,NA,NA,NA,NA,NA,NA,NA
"ySigma[118] 11214",0.438330830790354,0.436031,0.429491660422971,991491.6,0.95,0.35027,0.530781,NA,NA,NA,NA,NA,NA,NA
"ySigma[119] 11215",0.410693656562747,0.410234,0.409902281108448,994334.9,0.95,0.376036,0.445843,NA,NA,NA,NA,NA,NA,NA
"ySigma[120] 11216",0.431789198876409,0.431385,0.429835761494742,992993.1,0.95,0.400195,0.464159,NA,NA,NA,NA,NA,NA,NA
"ySigma[121] 11217",0.406097851396189,0.405401,0.404395335012794,992884.9,0.95,0.364644,0.448435,NA,NA,NA,NA,NA,NA,NA
"ySigma[122] 11218",0.390772060906513,0.389753,0.387031919572576,990746.7,0.95,0.338808,0.444618,NA,NA,NA,NA,NA,NA,NA
"ySigma[123] 11219",0.38815669244546,0.386483,0.386613061794209,973659.8,0.95,0.297772,0.481753,NA,NA,NA,NA,NA,NA,NA
"ySigma[124] 11220",0.429459176915585,0.4278365,0.424145236137183,982754.9,0.95,0.360989,0.500342,NA,NA,NA,NA,NA,NA,NA
"ySigma[125] 11221",0.420607771915825,0.420291,0.419363409858466,988108.9,0.95,0.392673,0.449028,NA,NA,NA,NA,NA,NA,NA
"ySigma[126] 11222",0.48729614372185,0.486787,0.486320381740498,989031.5,0.95,0.450595,0.526215,NA,NA,NA,NA,NA,NA,NA
"ySigma[127] 11223",0.405901069698442,0.40408,0.400713885502812,991515.8,0.95,0.325327,0.488242,NA,NA,NA,NA,NA,NA,NA
"ySigma[128] 11224",0.447504624440004,0.444711,0.437718677770345,978904.8,0.95,0.341388,0.559253,NA,NA,NA,NA,NA,NA,NA
"ySigma[129] 11225",0.410239215455276,0.409509,0.407820777485122,998969.4,0.95,0.368078,0.453324,NA,NA,NA,NA,NA,NA,NA
"ySigma[130] 11226",0.404231488567091,0.403547,0.401002945303556,1000008,0.95,0.363557,0.445504,NA,NA,NA,NA,NA,NA,NA
"ySigma[131] 11228",0.398409693621451,0.396561,0.391332959782659,983142.1,0.95,0.300431,0.500007,NA,NA,NA,NA,NA,NA,NA
"ySigma[132] 11229",0.402179524541804,0.400355,0.395384288171889,989758.8,0.95,0.320889,0.485806,NA,NA,NA,NA,NA,NA,NA
"ySigma[133] 11230",0.416817510853913,0.4151615,0.410199625837032,1000008,0.95,0.345429,0.490257,NA,NA,NA,NA,NA,NA,NA
"ySigma[134] 11231",0.387801127084983,0.386942,0.385499281600693,993440.6,0.95,0.34102,0.435872,NA,NA,NA,NA,NA,NA,NA
"ySigma[135] 11232",0.430866915334677,0.429143,0.425315247965453,995192.1,0.95,0.359322,0.505056,NA,NA,NA,NA,NA,NA,NA
"ySigma[136] 11233",0.398857652109783,0.398246,0.396780677280916,996911.7,0.95,0.36122,0.436891,NA,NA,NA,NA,NA,NA,NA
"ySigma[137] 11234",0.418097146763826,0.416006,0.413329141519859,995914.7,0.95,0.332589,0.507407,NA,NA,NA,NA,NA,NA,NA
"ySigma[138] 11235",0.425970895246838,0.424195,0.421324785353426,993370.5,0.95,0.351733,0.501952,NA,NA,NA,NA,NA,NA,NA
"ySigma[139] 11236",0.383420730986152,0.382032,0.379907060897741,983812.4,0.95,0.318582,0.450649,NA,NA,NA,NA,NA,NA,NA
"ySigma[140] 11237",0.387145228545172,0.386613,0.385703625675685,993543.9,0.95,0.352791,0.422877,NA,NA,NA,NA,NA,NA,NA
"ySigma[141] 11238",0.436300035217718,0.435882,0.435702980581623,995621.5,0.95,0.404079,0.469699,NA,NA,NA,NA,NA,NA,NA
"ySigma[142] 11249",0.481157244213046,0.480466,0.477866913032572,979540.5,0.95,0.437155,0.526075,NA,NA,NA,NA,NA,NA,NA
"ySigma[143] 11354",0.454777526975784,0.452441,0.445270646026321,977034.1,0.95,0.364615,0.547921,NA,NA,NA,NA,NA,NA,NA
"ySigma[144] 11355",0.408807544309645,0.407564,0.405191933904399,993166.3,0.95,0.350277,0.46951,NA,NA,NA,NA,NA,NA,NA
"ySigma[145] 11356",0.423869341572267,0.421602,0.416187740856184,994944.9,0.95,0.322931,0.527601,NA,NA,NA,NA,NA,NA,NA
"ySigma[146] 11357",0.437085027640779,0.434547,0.43253564368874,998947.5,0.95,0.333156,0.544625,NA,NA,NA,NA,NA,NA,NA
"ySigma[147] 11358",0.407836173562611,0.405827,0.40312212732103,993449.9,0.95,0.321363,0.497606,NA,NA,NA,NA,NA,NA,NA
"ySigma[148] 11360",0.419154273136815,0.417008,0.415621421435923,996042.3,0.95,0.315821,0.525388,NA,NA,NA,NA,NA,NA,NA
"ySigma[149] 11361",0.440245350090199,0.437772,0.431263202432902,994203.3,0.95,0.337229,0.547468,NA,NA,NA,NA,NA,NA,NA
"ySigma[150] 11362",0.434503709916321,0.431973,0.423146013789974,993232.6,0.95,0.327485,0.54494,NA,NA,NA,NA,NA,NA,NA
"ySigma[151] 11363",0.431385137914897,0.428941,0.42436638274917,983885,0.95,0.324143,0.542095,NA,NA,NA,NA,NA,NA,NA
"ySigma[152] 11364",0.41448959753722,0.412461,0.407177848474642,992565.4,0.95,0.308622,0.523291,NA,NA,NA,NA,NA,NA,NA
"ySigma[153] 11365",0.412555390494876,0.410534,0.409124703005976,987247.4,0.95,0.318699,0.510202,NA,NA,NA,NA,NA,NA,NA
"ySigma[154] 11366",0.459923762172903,0.457016,0.452584278000413,985758.2,0.95,0.360254,0.565529,NA,NA,NA,NA,NA,NA,NA
"ySigma[155] 11367",0.448376006002952,0.4458755,0.442488269304861,983789.7,0.95,0.355797,0.544577,NA,NA,NA,NA,NA,NA,NA
"ySigma[156] 11368",0.417710204910361,0.41575,0.410275674645252,1000008,0.95,0.338874,0.500976,NA,NA,NA,NA,NA,NA,NA
"ySigma[157] 11369",0.356742861985104,0.355257,0.349637642860169,928243.4,0.95,0.276749,0.439152,NA,NA,NA,NA,NA,NA,NA
"ySigma[158] 11370",0.422540513054896,0.420386,0.414864134104337,996852.4,0.95,0.332255,0.516128,NA,NA,NA,NA,NA,NA,NA
"ySigma[159] 11372",0.445007834559324,0.4432165,0.439383070318912,994158.4,0.95,0.372048,0.521396,NA,NA,NA,NA,NA,NA,NA
"ySigma[160] 11373",0.444179875192998,0.442691,0.439312392047239,993622.8,0.95,0.379593,0.512117,NA,NA,NA,NA,NA,NA,NA
"ySigma[161] 11374",0.43396745745934,0.431836,0.431854363540269,991748.4,0.95,0.348299,0.523013,NA,NA,NA,NA,NA,NA,NA
"ySigma[162] 11375",0.464089721950224,0.461952,0.458283599273532,975857.2,0.95,0.383754,0.547334,NA,NA,NA,NA,NA,NA,NA
"ySigma[163] 11377",0.663099239610083,0.66145,0.658558679358226,814675.1,0.95,0.581814,0.746671,NA,NA,NA,NA,NA,NA,NA
"ySigma[164] 11378",0.38070379875661,0.3790525,0.373224242547847,958146.2,0.95,0.28825,0.474889,NA,NA,NA,NA,NA,NA,NA
"ySigma[165] 11379",0.41093277003884,0.409003,0.40658242510088,985488.2,0.95,0.313376,0.512239,NA,NA,NA,NA,NA,NA,NA
"ySigma[166] 11385",0.387478787078703,0.386513,0.384147497062972,998093.5,0.95,0.338046,0.43834,NA,NA,NA,NA,NA,NA,NA
"ySigma[167] 11411",0.430344077902377,0.4279245,0.424507622588873,996525.1,0.95,0.33328,0.531473,NA,NA,NA,NA,NA,NA,NA
"ySigma[168] 11412",0.435332991641067,0.433221,0.428522584652223,994566.1,0.95,0.351388,0.521856,NA,NA,NA,NA,NA,NA,NA
"ySigma[169] 11413",0.420818757970936,0.4188765,0.415412656189375,999308.8,0.95,0.339235,0.507053,NA,NA,NA,NA,NA,NA,NA
"ySigma[170] 11414",0.414266826811385,0.412223,0.408371276209395,990310.9,0.95,0.311418,0.520392,NA,NA,NA,NA,NA,NA,NA
"ySigma[171] 11415",0.432194749574003,0.429793,0.426460181264581,995222.4,0.95,0.33772,0.530102,NA,NA,NA,NA,NA,NA,NA
"ySigma[172] 11416",0.430368514525884,0.427965,0.423739845081262,996134.5,0.95,0.32828,0.5371,NA,NA,NA,NA,NA,NA,NA
"ySigma[173] 11417",0.460992463387293,0.45818,0.453979370232214,977152.7,0.95,0.362643,0.566329,NA,NA,NA,NA,NA,NA,NA
"ySigma[174] 11418",0.381135591530268,0.379514,0.374581485584139,954986.9,0.95,0.287202,0.477789,NA,NA,NA,NA,NA,NA,NA
"ySigma[175] 11419",0.404096793677651,0.402179,0.395977632559912,984181,0.95,0.313928,0.498341,NA,NA,NA,NA,NA,NA,NA
"ySigma[176] 11420",0.392906229829161,0.3912595,0.386314345712766,965131.1,0.95,0.294655,0.49459,NA,NA,NA,NA,NA,NA,NA
"ySigma[177] 11421",0.383736347105223,0.382113,0.378738844227266,978865.9,0.95,0.307239,0.462578,NA,NA,NA,NA,NA,NA,NA
"ySigma[178] 11422",0.405026401554788,0.403098,0.399744066354101,994076.2,0.95,0.318704,0.491719,NA,NA,NA,NA,NA,NA,NA
"ySigma[179] 11423",0.412551439590483,0.410502,0.408431710058611,994255.8,0.95,0.311848,0.515608,NA,NA,NA,NA,NA,NA,NA
"ySigma[180] 11426",0.422591616159071,0.420365,0.416232546705396,992028.9,0.95,0.316912,0.531582,NA,NA,NA,NA,NA,NA,NA
"ySigma[181] 11427",0.426731757697938,0.424388,0.417880260679343,995101,0.95,0.323011,0.534137,NA,NA,NA,NA,NA,NA,NA
"ySigma[182] 11428",0.422163792043664,0.419925,0.417558642246129,997364.8,0.95,0.32757,0.519502,NA,NA,NA,NA,NA,NA,NA
"ySigma[183] 11429",0.42067188998988,0.418464,0.416093611904144,998885.7,0.95,0.32882,0.516086,NA,NA,NA,NA,NA,NA,NA
"ySigma[184] 11430",0.426405429625563,0.424053,0.42109352611399,989289.7,0.95,0.318788,0.536497,NA,NA,NA,NA,NA,NA,NA
"ySigma[185] 11432",0.457529032189743,0.45486,0.450560115407222,985867.5,0.95,0.360914,0.55692,NA,NA,NA,NA,NA,NA,NA
"ySigma[186] 11433",0.390680681102551,0.3888885,0.385201892328517,975819.8,0.95,0.302645,0.483494,NA,NA,NA,NA,NA,NA,NA
"ySigma[187] 11434",0.386853035291718,0.38556,0.384484782288982,988476.2,0.95,0.324755,0.451636,NA,NA,NA,NA,NA,NA,NA
"ySigma[188] 11435",0.423422011493908,0.421441,0.417101855686145,990804.7,0.95,0.335372,0.516579,NA,NA,NA,NA,NA,NA,NA
"ySigma[189] 11436",0.401834039324685,0.399917,0.396549515859947,984028.1,0.95,0.310422,0.496002,NA,NA,NA,NA,NA,NA,NA
"ySigma[190] 11439",0.429131340424277,0.426797,0.422225387747449,994506.6,0.95,0.324119,0.541664,NA,NA,NA,NA,NA,NA,NA
"ySigma[191] 11691",0.496432935604515,0.493208,0.486365972316402,938801.5,0.95,0.397194,0.602269,NA,NA,NA,NA,NA,NA,NA
"ySigma[192] 11692",0.430009432354541,0.428011,0.422000215990616,1000008,0.95,0.35011,0.514403,NA,NA,NA,NA,NA,NA,NA
"ySigma[193] 11693",0.375309024464804,0.373696,0.369822136182738,945748.9,0.95,0.283979,0.467113,NA,NA,NA,NA,NA,NA,NA
"ySigma[194] 11694",0.43942914246486,0.436901,0.43137512826046,988835.4,0.95,0.332184,0.550565,NA,NA,NA,NA,NA,NA,NA
"ySigma[195] 35055",0.424291498033016,0.422109,0.419457749932901,996053.9,0.95,0.318118,0.535511,NA,NA,NA,NA,NA,NA,NA
"ySigma[196] 43023",0.429976190977472,0.427599,0.426274036742449,992956.9,0.95,0.323798,0.541105,NA,NA,NA,NA,NA,NA,NA
"ySigma[197] 43040",0.424641820398437,0.422417,0.417835430342915,989996.3,0.95,0.317406,0.535036,NA,NA,NA,NA,NA,NA,NA
"ySigma[198] 45678",0.422782244870041,0.420601,0.417971255994844,987045.8,0.95,0.316078,0.532241,NA,NA,NA,NA,NA,NA,NA
"ySigma[199] 55075",0.426324203353373,0.42399,0.417810728906187,994025.9,0.95,0.319974,0.537487,NA,NA,NA,NA,NA,NA,NA
"10030.v.10018",-0.545749779141052,-0.545814,-0.548169515574926,1000008,0.95,-0.68940717,-0.403542,0,0,-0.05,0.05,100,0,0
