"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[156] Ridgewood",0.387535069047448,0.386438,0.384713688233507,992544,0.95,0.334822,0.442313,NA,NA,NA,NA,NA,NA,NA
"ySigma[157] Riverdale",0.405177556877545,0.403028,0.401970790521294,981425.6,0.95,0.294163,0.519404,NA,NA,NA,NA,NA,NA,NA
"ySigma[158] Rockaway Beach",0.367194775572795,0.365258,0.356924654954004,952920,0.95,0.275679,0.46185,NA,NA,NA,NA,NA,NA,NA
"ySigma[159] Roosevelt Island",0.439246484795122,0.436827,0.431739644837245,983311.8,0.95,0.350161,0.531899,NA,NA,NA,NA,NA,NA,NA
"ySigma[160] Rosebank",0.406629455313357,0.404411,0.400806221657329,985146.4,0.95,0.294267,0.522044,NA,NA,NA,NA,NA,NA,NA
"ySigma[161] Rosedale",0.400194267203862,0.397991,0.397658449437289,986850.3,0.95,0.312888,0.491994,NA,NA,NA,NA,NA,NA,NA
"ySigma[162] Schuylerville",0.413342158664731,0.410944,0.404273570490142,989831.8,0.95,0.305079,0.525825,NA,NA,NA,NA,NA,NA,NA
"ySigma[163] Sea Gate",0.466173749541004,0.462482,0.454452477778113,957728.2,0.95,0.349659,0.591017,NA,NA,NA,NA,NA,NA,NA
"ySigma[164] Sheepshead Bay",0.424844384595923,0.42305,0.419783363766083,996602,0.95,0.354404,0.499322,NA,NA,NA,NA,NA,NA,NA
"ySigma[165] Shore Acres",0.405529542009664,0.403414,0.403103272964719,980299.3,0.95,0.293111,0.520762,NA,NA,NA,NA,NA,NA,NA
"ySigma[166] Silver Lake",0.419361294401645,0.4167935,0.408520767602372,992849,0.95,0.305916,0.537432,NA,NA,NA,NA,NA,NA,NA
"ySigma[167] SoHo",0.526425270728834,0.5247985,0.521825040370532,941317.9,0.95,0.457452,0.598641,NA,NA,NA,NA,NA,NA,NA
"ySigma[168] Soundview",0.394625204501364,0.392694,0.391427001271911,967583.7,0.95,0.284054,0.50767,NA,NA,NA,NA,NA,NA,NA
"ySigma[169] South Beach",0.419423176111591,0.416851,0.411959507721596,994173.7,0.95,0.306184,0.538212,NA,NA,NA,NA,NA,NA,NA
"ySigma[170] South Ozone Park",0.371935999287006,0.370009,0.367840044073694,945940.4,0.95,0.27349,0.472445,NA,NA,NA,NA,NA,NA,NA
"ySigma[171] South Slope",0.376065330824353,0.375016,0.374099306656243,992567,0.95,0.324729,0.42898,NA,NA,NA,NA,NA,NA,NA
"ySigma[172] Springfield Gardens",0.37332884370025,0.371538,0.367846654391435,971965.2,0.95,0.299404,0.450019,NA,NA,NA,NA,NA,NA,NA
"ySigma[173] Spuyten Duyvil",0.414144381804946,0.411706,0.408962204983005,986421.8,0.95,0.303363,0.528986,NA,NA,NA,NA,NA,NA,NA
"ySigma[174] St. Albans",0.395490628932969,0.393603,0.390638786126111,982599,0.95,0.318917,0.475607,NA,NA,NA,NA,NA,NA,NA
"ySigma[175] St. George",0.374781784285726,0.372789,0.367684536352183,950708.6,0.95,0.277078,0.475443,NA,NA,NA,NA,NA,NA,NA
"ySigma[176] Stapleton",0.416545561789506,0.413922,0.404315055973551,994575.6,0.95,0.307917,0.529851,NA,NA,NA,NA,NA,NA,NA
"ySigma[177] Stuyvesant Town",0.462265358427133,0.4592195,0.456586591931001,975611.5,0.95,0.361779,0.567381,NA,NA,NA,NA,NA,NA,NA
