"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[98] Jackson Heights",0.423649749050008,0.422024,0.417507541509983,994903.4,0.95,0.356221,0.493815,NA,NA,NA,NA,NA,NA,NA
"ySigma[99] Jamaica",0.424268005232958,0.422827,0.418760986052325,992467.7,0.95,0.36032,0.491216,NA,NA,NA,NA,NA,NA,NA
"ySigma[100] Jamaica Estates",0.461803660568715,0.4585055,0.450754372931531,964444.5,0.95,0.355179,0.57288,NA,NA,NA,NA,NA,NA,NA
"ySigma[101] Kensington",0.399166079459364,0.397487,0.394238447033175,994825,0.95,0.331304,0.469791,NA,NA,NA,NA,NA,NA,NA
"ySigma[102] Kew Gardens",0.429000463384293,0.42629,0.423221408252706,1000008,0.95,0.330021,0.531544,NA,NA,NA,NA,NA,NA,NA
"ySigma[103] Kew Gardens Hills",0.439859515333877,0.437098,0.433940726410756,995003.3,0.95,0.343821,0.542036,NA,NA,NA,NA,NA,NA,NA
"ySigma[104] Kingsbridge",0.398588591374269,0.396328,0.391640268832861,981803.6,0.95,0.308914,0.489497,NA,NA,NA,NA,NA,NA,NA
"ySigma[105] Kips Bay",0.465799638323893,0.46461,0.463379568742776,983689.5,0.95,0.408061,0.525545,NA,NA,NA,NA,NA,NA,NA
"ySigma[106] Laurelton",0.442662836046312,0.439706,0.437986117923814,991599.2,0.95,0.337827,0.552745,NA,NA,NA,NA,NA,NA,NA
"ySigma[107] Lighthouse Hill",0.430314918680651,0.4275735,0.419546613105134,988957.4,0.95,0.315915,0.550632,NA,NA,NA,NA,NA,NA,NA
"ySigma[108] Little Italy",0.428175091939265,0.425757,0.42045580625481,992004.5,0.95,0.333975,0.528084,NA,NA,NA,NA,NA,NA,NA
"ySigma[109] Little Neck",0.431133896694826,0.42825,0.424959254715766,992729.9,0.95,0.314932,0.551345,NA,NA,NA,NA,NA,NA,NA
"ySigma[110] Long Island City",0.429869921070631,0.428834,0.425042010083528,994957.2,0.95,0.377441,0.483585,NA,NA,NA,NA,NA,NA,NA
