"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b[165] Shore Acres",-0.101740119581096,-0.101453,-0.106989116502567,990923.4,0.95,-0.437958,0.233482,NA,NA,NA,NA,NA,NA,NA
"b[166] Silver Lake",-0.0798198234409497,-0.0785932,-0.0849634298050026,994590.8,0.95,-0.513115,0.350258,NA,NA,NA,NA,NA,NA,NA
"b[167] SoHo",0.810276977581179,0.81021,0.808079579173721,996274.5,0.95,0.691023,0.928507,NA,NA,NA,NA,NA,NA,NA
"b[168] Soundview",-0.363800182317027,-0.365358,-0.367880953026941,1000008,0.95,-0.646842,-0.0799153,NA,NA,NA,NA,NA,NA,NA
"b[169] South Beach",-0.0796513171945303,-0.07892015,-0.0863123606500058,995611.8,0.95,-0.513736,0.35054,NA,NA,NA,NA,NA,NA,NA
"b[170] South Ozone Park",-0.129843331875879,-0.129724,-0.127378205048095,1000008,0.95,-0.324403,0.0625963,NA,NA,NA,NA,NA,NA,NA
"b[171] South Slope",0.266049877883777,0.26624,0.26633384452708,988889.3,0.95,0.184592,0.347008,NA,NA,NA,NA,NA,NA,NA
"b[172] Springfield Gardens",-0.0661708901415186,-0.06628475,-0.0629238198335808,1003047.2,0.95,-0.190255,0.0572056,NA,NA,NA,NA,NA,NA,NA
"b[173] Spuyten Duyvil",-0.173955466570444,-0.172875,-0.167696226910466,1000008,0.95,-0.526756,0.171353,NA,NA,NA,NA,NA,NA,NA
"b[174] St. Albans",-0.312539134695892,-0.3130515,-0.313947998437302,986938.8,0.95,-0.441131,-0.181735,NA,NA,NA,NA,NA,NA,NA
"b[175] St. George",0.0501274957393689,0.0507354,0.0504599765527597,1000008,0.95,-0.145514,0.245024,NA,NA,NA,NA,NA,NA,NA
"b[176] Stapleton",-0.263035982520814,-0.264343,-0.261299381694383,1000008,0.95,-0.593434,0.0700546,NA,NA,NA,NA,NA,NA,NA
"b[177] Stuyvesant Town",0.245502437231494,0.2441125,0.240930223797751,1000008,0.95,-0.00352494,0.497799,NA,NA,NA,NA,NA,NA,NA
"b[178] Sunnyside",-0.0929022700983174,-0.092453,-0.0926970549776951,990492.1,0.95,-0.199761,0.0141768,NA,NA,NA,NA,NA,NA,NA
"b[179] Sunset Park",-0.127577814773844,-0.127575,-0.123742932689266,1000008,0.95,-0.217537,-0.0360844,NA,NA,NA,NA,NA,NA,NA
"b[180] Theater District",0.747053369927041,0.747142,0.750174934938904,1000008,0.95,0.626067,0.867345,NA,NA,NA,NA,NA,NA,NA
